Customer_ID,Customer_Name,Contact,Business_Type,Location,Total_Purchases,Loyalty_Level
C2069,Raj Chopra,9436096648,Retailer,Tamil Nadu,1716217,Silver
C2070,Arun Reddy,9840974552,Mechanic,Maharashtra,198517,Gold
C2071,Arun Verma,9117626785,Wholesaler,Delhi,1990022,Silver
C2072,Neha Nair,9450827336,Wholesaler,Uttar Pradesh,249969,Silver
C2073,Divya Patil,9169574193,Wholesaler,West Bengal,1850749,Platinum
C2074,Amit Agarwal,9386993283,Wholesaler,Karnataka,1717242,Platinum
C2075,Amit Nair,9761792853,Wholesaler,Uttar Pradesh,333265,Gold
C2076,Arun Sharma,9130820065,Wholesaler,Tamil Nadu,1411571,Platinum
C2077,Divya Agarwal,9433353242,Mechanic,Maharashtra,514453,Gold
C2078,Anjali Sharma,9640328954,Mechanic,West Bengal,1213555,Silver
C2079,Priya Agarwal,9911247202,Wholesaler,Delhi,1612517,Gold
C2080,Neha Patil,9601615746,Mechanic,Uttar Pradesh,1115540,Silver
C2081,Raj Patil,9902771733,Retailer,West Bengal,1586421,Silver
C2082,Divya Verma,9339969242,Wholesaler,Tamil Nadu,54200,Platinum
C2083,Priya Bose,9470162396,Retailer,Karnataka,1326469,Silver
C2084,Priya Nair,9873990734,Retailer,Uttar Pradesh,1063141,Silver
C2085,Amit Reddy,9752147579,Wholesaler,Delhi,771775,Gold
C2086,Anjali Nair,9623743346,Mechanic,Karnataka,1982138,Platinum
C2087,Amit Chopra,9502338948,Retailer,Gujarat,1240135,Platinum
C2088,Arun Ghosh,9393364601,Wholesaler,West Bengal,1236718,Platinum
C2089,Kiran Patil,9342322202,Retailer,West Bengal,515204,Silver
C2090,Arun Patil,9998017668,Retailer,Maharashtra,960441,Silver
C2091,Neha Mehta,9408267323,Retailer,Delhi,1694380,Gold
C2092,Vikram Bose,9953463584,Retailer,West Bengal,820362,Platinum
C2093,Arun Bose,9445308178,Mechanic,Tamil Nadu,1041840,Platinum
C2094,Priya Patil,9352168607,Retailer,Gujarat,938661,Silver
C2095,Sanjay Verma,9509850660,Retailer,Tamil Nadu,618240,Gold
C2096,Vikram Sharma,9415334241,Retailer,Karnataka,1838442,Silver
C2097,Divya Nair,9764240510,Mechanic,Gujarat,248727,Platinum
C2098,Sanjay Ghosh,9707024631,Retailer,Gujarat,533705,Silver
C2099,Sanjay Sharma,9520639769,Retailer,Tamil Nadu,112959,Gold
C2100,Priya Sharma,9207729007,Mechanic,West Bengal,1691645,Gold
C2101,Sanjay Verma,9868600893,Mechanic,Tamil Nadu,600680,Silver
C2102,Raj Agarwal,9166033640,Mechanic,Delhi,1135832,Platinum
C2103,Priya Nair,9623258014,Retailer,Karnataka,151439,Silver
C2104,Sanjay Chopra,9636300594,Mechanic,Uttar Pradesh,343859,Silver
C2105,Anjali Patil,9874809831,Mechanic,Gujarat,693486,Gold
C2106,Arun Reddy,9716190493,Retailer,Delhi,1629410,Silver
C2107,Divya Ghosh,9749829367,Mechanic,West Bengal,968640,Gold
C2108,Anjali Patil,9782907770,Retailer,West Bengal,1710992,Gold
C2109,Anjali Mehta,9577417410,Wholesaler,Tamil Nadu,199207,Silver
C2110,Sanjay Verma,9590189548,Mechanic,Maharashtra,775857,Gold
C2111,Priya Mehta,9252922023,Wholesaler,Gujarat,1400032,Silver
C2112,Vikram Mehta,9260523164,Retailer,Gujarat,1074289,Platinum
C2113,Kiran Bose,9272553551,Mechanic,Maharashtra,567602,Platinum
C2114,Raj Verma,9251811685,Retailer,West Bengal,1007859,Gold
C2115,Raj Mehta,9849078685,Wholesaler,West Bengal,129756,Platinum
C2116,Vikram Verma,9560935934,Retailer,Uttar Pradesh,1583242,Platinum
C2117,Sanjay Patil,9430149278,Mechanic,Uttar Pradesh,851880,Silver
C2118,Sanjay Nair,9506800483,Mechanic,Gujarat,1474118,Silver
C2119,Anjali Reddy,9884327344,Wholesaler,Uttar Pradesh,1404571,Platinum
C2120,Kiran Reddy,9824736792,Retailer,Uttar Pradesh,1179108,Platinum
C2121,Neha Bose,9190810171,Mechanic,Karnataka,613556,Silver
C2122,Sanjay Verma,9911966441,Wholesaler,Gujarat,874173,Silver
C2123,Anjali Nair,9447626538,Mechanic,West Bengal,1354512,Platinum
C2124,Priya Sharma,9359801423,Mechanic,West Bengal,722495,Gold
C2125,Arun Sharma,9354415287,Retailer,Uttar Pradesh,1331541,Silver
C2126,Priya Patil,9136658629,Mechanic,Karnataka,50748,Silver
C2127,Amit Mehta,9111250434,Retailer,Uttar Pradesh,656474,Platinum
C2128,Anjali Bose,9258655716,Mechanic,Uttar Pradesh,967327,Platinum
C2129,Sanjay Mehta,9633411426,Wholesaler,Delhi,1209573,Gold
C2130,Raj Reddy,9111927593,Mechanic,Delhi,1053658,Silver
C2131,Kiran Sharma,9245826222,Retailer,Karnataka,92148,Platinum
C2132,Kiran Chopra,9594151459,Retailer,Karnataka,72297,Platinum
C2133,Anjali Chopra,9932327610,Wholesaler,Delhi,637448,Gold
C2134,Kiran Nair,9490110809,Mechanic,Delhi,1662441,Gold
C2135,Anjali Reddy,9896878297,Mechanic,Delhi,1003449,Silver
C2136,Sanjay Chopra,9164300207,Wholesaler,Delhi,364516,Platinum
C2137,Sanjay Sharma,9611373761,Mechanic,Gujarat,1883144,Platinum
C2138,Divya Nair,9550407129,Mechanic,Gujarat,1415401,Silver
C2139,Raj Agarwal,9964289769,Retailer,Uttar Pradesh,470622,Gold
C2140,Raj Sharma,9756592827,Mechanic,Tamil Nadu,1078966,Silver
C2141,Divya Bose,9605056157,Mechanic,Uttar Pradesh,722446,Silver
C2142,Arun Nair,9920322145,Wholesaler,Karnataka,1108466,Silver
C2143,Amit Sharma,9843965556,Wholesaler,Maharashtra,1998554,Gold
C2144,Arun Verma,9569114801,Retailer,Tamil Nadu,1131544,Gold
C2145,Amit Verma,9844955224,Mechanic,Maharashtra,1782310,Platinum
C2146,Divya Verma,9704519151,Mechanic,Maharashtra,197267,Platinum
C2147,Sanjay Mehta,9361174032,Mechanic,West Bengal,1608493,Silver
C2148,Priya Ghosh,9677160630,Retailer,Karnataka,1145899,Platinum
C2149,Sanjay Ghosh,9842900201,Retailer,Gujarat,1439400,Gold
C2150,Divya Sharma,9141554893,Wholesaler,Tamil Nadu,479525,Platinum
C2151,Divya Verma,9442719682,Retailer,Uttar Pradesh,122691,Platinum
C2152,Kiran Ghosh,9216255074,Mechanic,Karnataka,1960745,Gold
C2153,Divya Nair,9370737451,Mechanic,Delhi,1233153,Platinum
C2154,Vikram Chopra,9484770122,Retailer,Karnataka,1683308,Gold
C2155,Sanjay Agarwal,9358041819,Mechanic,Maharashtra,1049149,Platinum
C2156,Sanjay Chopra,9694948694,Mechanic,Gujarat,1266575,Platinum
C2157,Kiran Reddy,9505164987,Retailer,Delhi,1629944,Silver
C2158,Neha Bose,9796948412,Retailer,Karnataka,980911,Platinum
C2159,Vikram Verma,9738164312,Mechanic,Karnataka,733673,Silver
C2160,Raj Bose,9827451435,Mechanic,Gujarat,793963,Platinum
C2161,Divya Ghosh,9110490010,Mechanic,Maharashtra,122189,Silver
C2162,Priya Verma,9225644948,Wholesaler,Uttar Pradesh,374947,Platinum
C2163,Arun Patil,9566903778,Wholesaler,Delhi,698879,Gold
C2164,Arun Chopra,9653751947,Wholesaler,Maharashtra,535057,Platinum
C2165,Amit Agarwal,9175562071,Retailer,Gujarat,700518,Gold
C2166,Priya Patil,9266369993,Wholesaler,Karnataka,95094,Gold
C2167,Vikram Chopra,9917840678,Retailer,Uttar Pradesh,197524,Silver
C2168,Amit Bose,9140245250,Retailer,Tamil Nadu,1594468,Gold
C2169,Arun Chopra,9634679449,Wholesaler,Tamil Nadu,1896391,Gold
C2170,Divya Nair,9467263670,Wholesaler,West Bengal,501669,Silver
C2171,Raj Nair,9106867782,Wholesaler,Tamil Nadu,1416192,Platinum
C2172,Neha Verma,9158694505,Mechanic,Gujarat,446234,Platinum
C2173,Amit Chopra,9127162783,Wholesaler,Gujarat,52653,Gold
C2174,Priya Verma,9532227297,Mechanic,Gujarat,1341355,Silver
C2175,Arun Reddy,9756984985,Retailer,Delhi,571635,Platinum
C2176,Neha Chopra,9927095069,Mechanic,West Bengal,1424288,Silver
C2177,Divya Patil,9763334279,Wholesaler,Delhi,1123492,Silver
C2178,Vikram Patil,9834524551,Retailer,Uttar Pradesh,920627,Gold
C2179,Neha Nair,9186841801,Retailer,Tamil Nadu,1592014,Silver
C2180,Anjali Chopra,9473641559,Retailer,Uttar Pradesh,1721640,Gold
C2181,Raj Verma,9492933741,Mechanic,Tamil Nadu,1338279,Silver
C2182,Kiran Chopra,9668806756,Wholesaler,Karnataka,250029,Gold
C2183,Raj Sharma,9471934844,Retailer,Delhi,1966543,Platinum
C2184,Vikram Reddy,9710292932,Retailer,Maharashtra,1514105,Silver
C2185,Neha Reddy,9335196394,Retailer,Uttar Pradesh,424973,Gold
C2186,Anjali Nair,9728591794,Mechanic,Karnataka,1734322,Platinum
C2187,Kiran Nair,9810488638,Mechanic,Delhi,831268,Gold
C2188,Raj Verma,9268337079,Wholesaler,Gujarat,1022421,Gold
C2189,Priya Reddy,9254244003,Mechanic,West Bengal,177956,Gold
C2190,Arun Sharma,9377414330,Retailer,Uttar Pradesh,1833943,Gold
C2191,Vikram Ghosh,9375025599,Wholesaler,Delhi,819348,Gold
C2192,Arun Reddy,9442328944,Retailer,West Bengal,215927,Silver
C2193,Kiran Reddy,9482168297,Retailer,Uttar Pradesh,614873,Platinum
C2194,Raj Chopra,9568290554,Mechanic,West Bengal,733294,Platinum
C2195,Vikram Sharma,9463696129,Wholesaler,Uttar Pradesh,1385289,Platinum
C2196,Vikram Patil,9296212757,Mechanic,Tamil Nadu,549967,Silver
C2197,Sanjay Verma,9327770321,Mechanic,Maharashtra,1512045,Gold
C2198,Vikram Nair,9294881582,Wholesaler,Uttar Pradesh,1457922,Silver
C2199,Kiran Ghosh,9236546787,Retailer,Delhi,104868,Gold
C2200,Amit Patil,9202989599,Retailer,Maharashtra,993523,Silver
C2201,Amit Reddy,9426103142,Wholesaler,West Bengal,582284,Platinum
C2202,Kiran Sharma,9897862307,Retailer,Tamil Nadu,1074538,Silver
C2203,Amit Agarwal,9675614927,Wholesaler,Uttar Pradesh,1391157,Gold
C2204,Kiran Patil,9760387763,Wholesaler,Maharashtra,901234,Platinum
C2205,Neha Reddy,9431937495,Mechanic,Karnataka,1380491,Platinum
C2206,Priya Mehta,9400261148,Wholesaler,West Bengal,764527,Gold
C2207,Raj Bose,9923333605,Mechanic,Karnataka,624297,Gold
C2208,Sanjay Patil,9190109706,Retailer,Gujarat,1491923,Silver
C2209,Anjali Agarwal,9303512446,Retailer,Maharashtra,1612202,Gold
C2210,Neha Patil,9767761329,Retailer,Maharashtra,1642163,Gold
C2211,Sanjay Sharma,9960815142,Retailer,Maharashtra,259636,Gold
C2212,Sanjay Mehta,9930662376,Mechanic,Gujarat,298346,Platinum
C2213,Vikram Chopra,9713976576,Retailer,Delhi,1593470,Gold
C2214,Priya Chopra,9716964507,Wholesaler,West Bengal,1002303,Platinum
C2215,Vikram Nair,9501171409,Wholesaler,West Bengal,608981,Platinum
C2216,Kiran Nair,9804325365,Wholesaler,Uttar Pradesh,1788705,Platinum
C2217,Vikram Sharma,9191691250,Mechanic,Uttar Pradesh,1496169,Gold
C2218,Priya Chopra,9580199232,Retailer,Uttar Pradesh,1908027,Gold
C2219,Amit Ghosh,9531672536,Retailer,West Bengal,732263,Platinum
C2220,Neha Sharma,9705599836,Retailer,Delhi,1634627,Silver
C2221,Priya Ghosh,9743919458,Mechanic,Maharashtra,1351702,Silver
C2222,Kiran Agarwal,9313755137,Wholesaler,Maharashtra,1104070,Silver
C2223,Vikram Mehta,9323992766,Wholesaler,Gujarat,1372283,Gold
C2224,Divya Nair,9155614682,Retailer,Karnataka,1324764,Platinum
C2225,Priya Mehta,9356053311,Wholesaler,Delhi,607721,Gold
C2226,Divya Patil,9692310466,Wholesaler,Tamil Nadu,1390714,Platinum
C2227,Neha Sharma,9184972020,Mechanic,Delhi,1449338,Silver
C2228,Kiran Sharma,9440195166,Mechanic,Gujarat,432273,Gold
C2229,Arun Nair,9565952164,Mechanic,Karnataka,1423293,Silver
C2230,Sanjay Agarwal,9726849392,Mechanic,Karnataka,1378750,Platinum
C2231,Kiran Verma,9451272128,Retailer,Uttar Pradesh,1963302,Silver
C2232,Vikram Ghosh,9730562699,Mechanic,Uttar Pradesh,1037547,Platinum
C2233,Vikram Verma,9144659295,Wholesaler,Karnataka,374096,Gold
C2234,Neha Nair,9617140425,Retailer,Maharashtra,1022255,Gold
C2235,Neha Mehta,9114238199,Wholesaler,Tamil Nadu,575451,Silver
C2236,Vikram Mehta,9474979304,Wholesaler,Karnataka,1298109,Gold
C2237,Neha Nair,9892430286,Wholesaler,West Bengal,1121793,Platinum
C2238,Amit Patil,9807915370,Mechanic,Maharashtra,1588996,Platinum
C2239,Kiran Mehta,9823497819,Mechanic,Tamil Nadu,991559,Silver
C2240,Amit Ghosh,9920205681,Retailer,West Bengal,392075,Platinum
C2241,Divya Chopra,9567458664,Retailer,Tamil Nadu,1439750,Gold
C2242,Kiran Nair,9741815507,Mechanic,Gujarat,612108,Silver
C2243,Raj Chopra,9496567876,Wholesaler,Tamil Nadu,416361,Silver
C2244,Neha Patil,9860616134,Retailer,West Bengal,1372910,Gold
C2245,Kiran Ghosh,9169970952,Mechanic,Delhi,239240,Gold
C2246,Divya Agarwal,9113979022,Mechanic,Tamil Nadu,1930971,Gold
C2247,Anjali Bose,9563192762,Mechanic,Delhi,1041964,Silver
C2248,Anjali Patil,9982854446,Wholesaler,Tamil Nadu,326356,Silver
C2249,Arun Bose,9977508294,Mechanic,Gujarat,1589298,Platinum
C2250,Amit Verma,9324055793,Mechanic,West Bengal,365782,Silver
C2251,Neha Nair,9541525372,Mechanic,Tamil Nadu,221151,Silver
C2252,Divya Agarwal,9220229944,Mechanic,Karnataka,1547823,Platinum
C2253,Priya Patil,9798780491,Retailer,Gujarat,1026435,Silver
C2254,Neha Patil,9943180382,Retailer,Karnataka,1832420,Platinum
C2255,Sanjay Reddy,9168399994,Mechanic,Gujarat,1131370,Platinum
C2256,Raj Sharma,9967399873,Wholesaler,Gujarat,926263,Platinum
C2257,Sanjay Bose,9250515800,Retailer,Uttar Pradesh,1183166,Gold
C2258,Divya Verma,9657160072,Mechanic,Tamil Nadu,776523,Gold
C2259,Anjali Mehta,9620423506,Retailer,West Bengal,1066691,Silver
C2260,Divya Patil,9412747952,Retailer,Uttar Pradesh,1884574,Platinum
C2261,Kiran Bose,9144062206,Wholesaler,West Bengal,1432166,Gold
C2262,Kiran Patil,9856915315,Mechanic,Maharashtra,1409998,Platinum
C2263,Amit Sharma,9966424970,Mechanic,West Bengal,919831,Platinum
C2264,Priya Mehta,9639544892,Wholesaler,Delhi,175208,Gold
C2265,Sanjay Reddy,9795921619,Wholesaler,Tamil Nadu,1407194,Platinum
C2266,Arun Bose,9221411785,Mechanic,Karnataka,205966,Silver
C2267,Raj Nair,9168554691,Mechanic,West Bengal,804004,Silver
C2268,Sanjay Verma,9586810536,Wholesaler,Karnataka,357893,Silver
C2269,Anjali Reddy,9988459504,Retailer,Maharashtra,324550,Silver
C2270,Anjali Nair,9304814105,Retailer,Tamil Nadu,1955417,Gold
C2271,Arun Ghosh,9126703361,Wholesaler,West Bengal,392705,Gold
C2272,Vikram Bose,9837484386,Retailer,Uttar Pradesh,564760,Silver
C2273,Divya Nair,9503464405,Wholesaler,Karnataka,996175,Gold
C2274,Kiran Nair,9720522464,Retailer,Uttar Pradesh,1489087,Silver
C2275,Anjali Reddy,9953428734,Retailer,Gujarat,947408,Gold
C2276,Anjali Bose,9745457235,Mechanic,Uttar Pradesh,908069,Gold
C2277,Neha Patil,9346103624,Mechanic,West Bengal,1984917,Platinum
C2278,Neha Nair,9994233583,Retailer,Maharashtra,399341,Silver
C2279,Anjali Patil,9669477459,Retailer,Uttar Pradesh,983686,Platinum
C2280,Neha Bose,9255977587,Mechanic,Gujarat,1882545,Silver
C2281,Priya Chopra,9174356111,Mechanic,Karnataka,1006108,Gold
C2282,Sanjay Chopra,9395703258,Mechanic,Karnataka,1684389,Silver
C2283,Vikram Agarwal,9437122658,Wholesaler,Tamil Nadu,1293013,Platinum
C2284,Arun Verma,9242094405,Retailer,Uttar Pradesh,347320,Platinum
C2285,Amit Reddy,9685431282,Mechanic,Uttar Pradesh,438077,Gold
C2286,Sanjay Mehta,9573311135,Retailer,Tamil Nadu,446055,Platinum
C2287,Amit Patil,9964738446,Wholesaler,Karnataka,1591204,Gold
C2288,Priya Mehta,9657748250,Wholesaler,Gujarat,906422,Gold
C2289,Kiran Agarwal,9725998030,Mechanic,Uttar Pradesh,1482278,Gold
C2290,Arun Bose,9746926245,Wholesaler,Tamil Nadu,1322964,Gold
C2291,Kiran Sharma,9913585751,Retailer,Karnataka,1768150,Gold
C2292,Sanjay Mehta,9723187762,Mechanic,Gujarat,205010,Platinum
C2293,Kiran Ghosh,9706769020,Retailer,Delhi,667612,Platinum
C2294,Raj Ghosh,9525764237,Retailer,West Bengal,768773,Platinum
C2295,Kiran Bose,9244908422,Wholesaler,Uttar Pradesh,1864974,Platinum
C2296,Raj Agarwal,9642576485,Wholesaler,Delhi,311195,Gold
C2297,Neha Mehta,9718782567,Wholesaler,Delhi,1264341,Silver
C2298,Kiran Nair,9351864882,Wholesaler,West Bengal,1245105,Silver
C2299,Arun Ghosh,9107994132,Wholesaler,Karnataka,1137438,Silver
C2300,Sanjay Bose,9938391994,Mechanic,Karnataka,1095806,Silver
C2301,Sanjay Chopra,9789077479,Retailer,Tamil Nadu,1712417,Platinum
C2302,Kiran Bose,9300890171,Retailer,Maharashtra,796550,Gold
C2303,Raj Mehta,,Retailer,Karnataka,693376,
C2304,Vikram Mehta,9408054238,Retailer,West Bengal,1755912,Platinum
C2305,Amit Bose,9160567476,Wholesaler,Maharashtra,831058,Platinum
C2306,Amit Ghosh,9487211078,Retailer,West Bengal,1021285,Gold
C2307,Arun Sharma,9255164612,Mechanic,West Bengal,1805170,Platinum
C2308,Kiran Ghosh,9180227523,Mechanic,West Bengal,571755,Gold
C2309,Divya Sharma,9639510651,Retailer,Uttar Pradesh,1847608,Silver
C2310,Priya Mehta,9485659861,Retailer,Uttar Pradesh,1371641,Platinum
C2311,Amit Bose,9150825373,Mechanic,Maharashtra,1812443,Gold
C2312,Amit Sharma,9444046826,Mechanic,Delhi,1979856,Platinum
C2313,Neha Mehta,9511591929,Wholesaler,Uttar Pradesh,374707,Silver
C2314,Vikram Patil,9156035528,Mechanic,Gujarat,605997,Gold
C2315,Anjali Agarwal,9700901429,Wholesaler,West Bengal,1364164,Silver
C2316,Vikram Mehta,9303778000,Wholesaler,Uttar Pradesh,869958,Silver
C2317,Neha Mehta,9898914565,Wholesaler,Tamil Nadu,1380198,Gold
C2318,Neha Verma,9214713340,Wholesaler,Karnataka,113332,Platinum
C2319,Anjali Sharma,9713059520,Wholesaler,Gujarat,1102955,Gold
C2320,Arun Sharma,9203022613,Retailer,Karnataka,721856,Silver
C2321,Vikram Patil,9260813929,Mechanic,Karnataka,363716,Gold
C2322,Priya Sharma,9800736641,Wholesaler,Maharashtra,734228,Platinum
C2323,Raj Patil,9538509745,Mechanic,Tamil Nadu,55283,Gold
C2324,Sanjay Sharma,9157311997,Mechanic,Tamil Nadu,1902213,Silver
C2325,Divya Reddy,9382043816,Wholesaler,Gujarat,1587454,Platinum
C2326,Sanjay Reddy,9853438352,Retailer,Tamil Nadu,1085831,Platinum
C2327,Anjali Verma,9883355972,Wholesaler,Tamil Nadu,293721,Gold
C2328,Divya Patil,,Retailer,Tamil Nadu,235988,
C2329,Anjali Chopra,9479981578,Mechanic,Gujarat,781533,Gold
C2330,Vikram Reddy,9899178900,Retailer,Delhi,551911,Silver
C2331,Divya Ghosh,9667249351,Retailer,Tamil Nadu,1930254,Platinum
C2332,Priya Reddy,9709087857,Retailer,Uttar Pradesh,1411691,Platinum
C2333,Neha Verma,9552086725,Mechanic,Tamil Nadu,1590372,Platinum
C2334,Divya Sharma,9449985009,Mechanic,Maharashtra,1146172,Platinum
C2335,Neha Ghosh,9382871367,Retailer,Maharashtra,1255490,Platinum
C2336,Kiran Mehta,9758482922,Retailer,Uttar Pradesh,335159,Silver
C2337,Sanjay Verma,9692299709,Wholesaler,Tamil Nadu,205467,Platinum
C2338,Divya Patil,9172973616,Retailer,Delhi,1573987,Gold
C2339,Priya Chopra,9688334321,Wholesaler,Tamil Nadu,1874957,Silver
C2340,Divya Verma,9391866555,Retailer,Uttar Pradesh,768450,Silver
C2341,Divya Sharma,9392422928,Wholesaler,Tamil Nadu,1781423,Platinum
C2342,Vikram Nair,9116590910,Mechanic,Tamil Nadu,993410,Gold
C2343,Kiran Agarwal,9738055953,Retailer,West Bengal,166581,Gold
C2344,Priya Nair,9359643933,Retailer,Delhi,453751,Platinum
C2345,Vikram Sharma,9683700390,Retailer,Karnataka,1880121,Silver
C2346,Kiran Bose,9991173456,Retailer,Uttar Pradesh,142500,Platinum
C2347,Priya Mehta,9559420997,Wholesaler,Tamil Nadu,148896,Silver
C2348,Vikram Bose,9479255107,Retailer,Uttar Pradesh,1835024,Platinum
C2349,Amit Mehta,9430553316,Mechanic,Karnataka,1357506,Gold
C2350,Amit Nair,9592907269,Mechanic,Delhi,624827,Platinum
C2351,Neha Ghosh,9174500359,Retailer,Uttar Pradesh,1299179,Gold
C2352,Arun Bose,9768088298,Mechanic,Tamil Nadu,1515269,Platinum
C2353,Anjali Mehta,9927607314,Retailer,Karnataka,1522769,Gold
C2354,Divya Chopra,9300517927,Retailer,Uttar Pradesh,939808,Gold
C2355,Vikram Patil,9636419538,Mechanic,Gujarat,1452366,Gold
C2356,Priya Chopra,9788769440,Retailer,Karnataka,1849398,Gold
C2357,Anjali Patil,9155237365,Mechanic,Delhi,127837,Gold
C2358,Anjali Ghosh,9838018256,Wholesaler,Tamil Nadu,1318267,Platinum
C2359,Divya Mehta,9500246386,Retailer,West Bengal,587583,Platinum
C2360,Vikram Sharma,9372180322,Wholesaler,Delhi,769057,Platinum
C2361,Anjali Agarwal,9647982044,Mechanic,West Bengal,1140599,Silver
C2362,Amit Bose,9591085131,Wholesaler,Tamil Nadu,937841,Gold
C2363,Sanjay Agarwal,9428622087,Wholesaler,Karnataka,1580602,Silver
